date,oil_price_usd,ca_5yr_bond_yield,overnight_rate,cadusd_rate,natgas_price,alberta_etf
2022-02-01,88.19999694824219,2.24,0.1754,0.7863242626190186,4.750999927520752,11.094453811645508
2022-02-02,88.26000213623047,2.24,0.1754,0.7880468964576721,5.500999927520752,11.189056396484375
2022-02-03,90.2699966430664,2.24,0.1754,0.788245677947998,4.888000011444092,11.103052139282227
2022-02-04,92.30999755859376,2.24,0.1754,0.7887368202209473,4.572000026702881,11.18045711517334
2022-02-07,91.31999969482422,2.24,0.1754,0.78460294008255,4.23199987411499,11.085853576660156
2022-02-08,89.36000061035156,2.24,0.1754,0.78954017162323,4.248000144958496,10.63863468170166
2022-02-09,89.66000366210938,2.24,0.1754,0.7870669364929199,4.008999824523926,10.836443901062012
2022-02-10,89.87999725341797,2.24,0.1754,0.7888861894607544,3.9590001106262207,10.913846015930176
2022-02-11,93.0999984741211,2.24,0.1754,0.7854225635528564,3.940999984741211,11.300862312316895
2022-02-14,95.45999908447266,2.24,0.1754,0.7859472632408142,4.195000171661377,11.154656410217285
2022-02-15,92.06999969482422,2.24,0.1754,0.785632312297821,4.306000232696533,11.12885570526123
2022-02-16,93.66000366210938,2.24,0.1754,0.7859349250793457,4.7170000076293945,11.22346019744873
2022-02-17,91.76000213623048,2.24,0.1754,0.7876868844032288,4.486000061035156,11.232060432434082
2022-02-18,91.06999969482422,2.24,0.1754,0.787104070186615,4.431000232696533,10.974048614501953
2022-02-21,91.06999969482422,2.24,0.1754,0.7839078903198242,4.431000232696533,10.974048614501953
2022-02-22,92.3499984741211,2.24,0.1754,0.783944845199585,4.498000144958496,10.991249084472656
2022-02-23,92.0999984741211,2.24,0.1754,0.7832632064819336,4.623000144958496,11.01705265045166
2022-02-24,92.80999755859376,2.24,0.1754,0.7853053212165833,4.567999839782715,11.077251434326172
2022-02-25,91.58999633789062,2.24,0.1754,0.7806706428527832,4.46999979019165,11.335264205932617
2022-02-28,95.72000122070312,2.24,0.1754,0.7839940190315247,4.4019999504089355,11.627676010131836
2022-03-01,103.41000366210938,2.45,0.4403,0.7894840836524963,4.572999954223633,11.756680488586426
2022-03-02,110.5999984741211,2.45,0.4403,0.7859472632408142,4.76200008392334,11.859886169433594
2022-03-03,107.66999816894533,2.45,0.4403,0.7907575964927673,4.7220001220703125,11.705079078674316
2022-03-04,115.68000030517578,2.45,0.4403,0.7892472743988037,5.015999794006348,12.11789608001709
2022-03-07,119.4000015258789,2.45,0.4403,0.7865283489227295,4.833000183105469,12.470512390136719
2022-03-08,123.6999969482422,2.45,0.4403,0.7811645269393921,4.5269999504089355,12.487709999084473
2022-03-09,108.6999969482422,2.45,0.4403,0.7758553624153137,4.526000022888184,12.040491104125977
