date,oil_price_usd,ca_5yr_bond_yield,overnight_rate,cadusd_rate,natgas_price,alberta_etf,oil_7d,oil_30d,oil_90d,oil_mom,cadusd_7d,cadusd_30d,cadusd_90d,cadusd_mom,natgas_7d,natgas_30d,natgas_90d,natgas_mom,etf_7d,etf_30d,etf_90d,etf_mom,bond_7d,bond_30d,bond_90d,bond_mom,rate_7d,rate_30d,rate_90d,rate_mom,dow,month,month_start,target_next_month_mom,housing_pressure_score
2019-10-22,54.15999984741211,1.6,1.7472,0.7641404271125793,2.2720000743865967,6.515219688415527,53.562857491629465,55.12500025431315,55.99155561659071,-0.05644602077242167,0.7593983071190971,0.7553651809692383,0.7572624458207025,0.006288918674276056,2.2957142761775424,2.4009999990463258,2.3132888846927218,-0.1193797900881447,6.499172415052142,6.834277470906575,6.762518919838799,-0.05159929494336901,1.6,1.572,1.5474444444444442,0.038961038961039085,1.7472,1.74636,1.746568888888889,0.001031282227569541,1,10,2019-10-01,,-1.8740443
2019-10-23,55.970001220703125,1.6,1.7472,0.7637085914611816,2.282000064849853,6.547313690185547,53.902857644217356,55.13233362833659,55.984000057644316,0.0039462102368272856,0.76026622738157,0.7554652988910675,0.7573748019006518,0.003948360326841538,2.2960000038146973,2.3919999996821084,2.3143666638268363,-0.1057993636690453,6.499172415052142,6.823531564076742,6.754420889748467,-0.04692746876367848,1.6,1.5740000000000003,1.5463333333333336,0.038961038961039085,1.7472,1.7464200000000003,1.7466166666666665,0.001031282227569541,2,10,2019-10-01,,-1.8740443
2019-10-24,56.22999954223633,1.6,1.7472,0.7649353742599487,2.315999984741211,6.491148471832275,54.39142881120954,55.17033360799154,55.97066671583388,0.020693399645868027,0.7615140165601458,0.7556809306144714,0.7574457850721147,0.008528988904086487,2.2927142892565047,2.383400003115336,2.3158111068937512,-0.10023306482373606,6.495733669825962,6.809850915273031,6.746318658192952,-0.059467568517850844,1.6,1.576,1.545222222222222,0.038961038961039085,1.7472,1.7464800000000003,1.7466644444444446,0.001031282227569541,3,10,2019-10-01,,-1.8740443
2019-10-25,56.65999984741211,1.6,1.7472,0.7650758028030396,2.299999952316284,6.563362121582031,54.86285727364676,55.23066698710124,55.95688891940647,0.03299911437818914,0.7626018439020429,0.7559529125690461,0.7575293739636739,0.01077986847572987,2.2922857148306712,2.372933332125346,2.3157777733272975,-0.12012246359898393,6.507196085793631,6.796717802683513,6.739107349183825,-0.05662976079446047,1.6,1.578,1.544111111111111,0.038961038961039085,1.7472,1.7465400000000002,1.7467122222222224,0.001031282227569541,4,10,2019-10-01,,-1.8740443
2019-10-28,55.810001373291016,1.6,1.7472,0.7655209302902222,2.446000099182129,6.50719690322876,55.13142885480608,54.99433364868164,55.93444446987576,-0.11271860064535699,0.763736869607653,0.7562425971031189,0.7576055202219222,0.01148280524673062,2.3105714321136475,2.3651000022888184,2.3173111067877876,-0.08765382155814416,6.508342402321952,6.7607262134552,6.731803284751044,-0.1423165367102559,1.6,1.5799999999999998,1.5430000000000001,0.038961038961039085,1.7472,1.7466000000000002,1.74676,0.001031282227569541,0,10,2019-10-01,,-1.7951652
2019-10-29,55.540000915527344,1.6,1.7472,0.765954852104187,2.5969998836517334,6.5392913818359375,55.38285773141043,54.867667007446286,55.89177780151367,-0.06403773554582348,0.7644049440111432,0.7565997123718262,0.7576848242017958,0.01418547519471458,2.350142853600638,2.362733332316081,2.320711106724209,-0.02661173149885665,6.523243563515799,6.731383053461711,6.723616117901273,-0.11864473007712084,1.6,1.582,1.5418888888888886,0.038961038961039085,1.7472,1.74666,1.7468077777777775,0.001031282227569541,1,10,2019-10-01,,-1.7621046
2019-10-30,55.060001373291016,1.6,1.7472,0.7640002965927124,2.690999984741211,6.459054946899414,55.63285773141043,54.76600036621094,55.84322225782606,-0.05248664954440263,0.7647623249462673,0.7568882524967193,0.7577055275440217,0.01145994763020064,2.4148571491241455,2.3645333290100097,2.324788885646396,0.02047777743621837,6.517512457711356,6.702818822860718,6.716574096679688,-0.11713081495426558,1.6,1.584,1.540777777777778,0.038961038961039085,1.7472,1.74672,1.7468555555555556,0.001031282227569541,2,10,2019-10-01,,-1.648948
2019-10-31,54.18000030517578,1.6,1.7472,0.7595667243003845,2.632999897003174,6.3306756019592285,55.635714939662385,54.63433367411296,55.79555558098687,-0.06795115586375,0.7641089388302394,0.757133173942566,0.7576597015062968,0.009767956652151799,2.4664285523550853,2.3676999886830647,2.328399994638231,0.03743096382726252,6.491149016789028,6.671037848790487,6.707928525076972,-0.13089174924513325,1.6,1.5859999999999999,1.5396666666666665,0.038961038961039085,1.7472,1.7467800000000002,1.7469033333333335,0.001031282227569541,3,10,2019-10-01,,-0.8408204
2019-11-01,56.20000076293945,1.57,1.7487,0.7594455480575562,2.71399998664856,6.53126859664917,55.668572017124724,54.571333694458005,55.76344447665744,-0.03253570984134757,0.7634999326297215,0.7573046445846557,0.7576100005043878,0.006819713003744399,2.5281428268977573,2.373699990908305,2.3333666616015964,0.0710339670274811,6.488856860569546,6.644615046183268,6.7015117645263675,-0.10823173133503161,1.5957142857142859,1.587,1.5385555555555555,0.01948051948051943,1.7474142857142856,1.74689,1.7469233333333332,0.0018906840838774919,4,11,2019-11-01,,-1.7340469
2019-11-04,56.540000915527344,1.57,1.7487,0.7610350251197815,2.821000099182129,6.739882946014404,55.71285792759487,54.501333745320636,55.76666670905219,-0.03581170695734692,0.762942739895412,0.7575455864270528,0.7576048493385314,0.00958900285993769,2.600285700389317,2.3834999958674112,2.339822218153212,0.11634355146133513,6.524390356881278,6.625411748886108,6.698475562201606,-0.07874526339061261,1.5914285714285714,1.588,1.5374444444444444,0.01948051948051943,1.7476285714285715,1.747,1.7469433333333333,0.0018906840838774919,0,11,2019-11-01,,-1.659252
2019-11-05,57.22999954223633,1.57,1.7487,0.760363757610321,2.861999988555908,6.820119857788086,55.7942864554269,54.49933369954427,55.76544448004829,-0.001047327148405608,0.7622695905821664,0.757754111289978,0.7575689805878534,0.00829555685725536,2.6805714198521207,2.395466661453247,2.346177774005466,0.1434278723794793,6.561070033482143,6.61310871442159,6.695976665284898,-0.05133957530171385,1.587142857142857,1.589,1.5363333333333336,0.01948051948051943,1.747842857142857,1.74711,1.7469633333333332,0.0018906840838774919,1,11,2019-11-01,,-1.6479378
2019-11-06,56.34999847412109,1.57,1.7487,0.7603984475135803,2.828000068664551,6.707787990570068,55.87142889840262,54.49466692606608,55.754444461398656,-0.002478371396456791,0.7615378073283604,0.7579256335894267,0.7575082202752431,0.006813174515523102,2.735142844063895,2.406333327293396,2.3521555529700384,0.13029574861191695,6.589725903102329,6.598398685455322,6.691698344548543,-0.06172826742781801,1.582857142857143,1.59,1.5352222222222225,0.01948051948051943,1.7480571428571428,1.74722,1.7469833333333333,0.0018906840838774919,2,11,2019-11-01,,-1.4264425
